X.1,X,...1,Name,Address,prktype,restroom,Website,playground,soccer,basketball,tennis,volleyball,baseball,discgolf,dogpark,picnic,sprayground,latitude,longitude,Label,type2
183,191,206,Cherry Park,"501 S TORRENCE ST CHARLOTTE, NC 28204",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.21029734,-80.83282754,,baseball
207,215,231,Albemarle Recreation Center,"5027 IDLEWILD RD NORTH CHARLOTTE, NC 28227",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.19538781,-80.72436464,,baseball
211,219,235,Bryant Park,"1701 W MOREHEAD ST CHARLOTTE, NC 28208",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.22852971,-80.86804711,,baseball
213,221,237,Allen Hills Park,"4701 CHEVIOT RD CHARLOTTE, NC 28269",Neighborhood,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,35.28616811,-80.8178799,,baseball
218,226,242,R.C. Bradford Park,"17005 DAVIDSON-CONCORD RD HUNTERSVILLE, NC 28078",Town Park,Yes,https://www.huntersville.org/162/Parks-Recreation,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,35.44738027,-80.7879442,,baseball
219,227,243,Coulwood Park,"198 COULWOOD PARK DR CHARLOTTE, NC 28214",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,35.30657548,-80.94194215,,baseball
221,229,245,Colonel Francis J. Beatty Park,"4330 WEDDINGTON RD CHARLOTTE, NC 28105",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,35.0678581,-80.72872488,,baseball
234,242,258,Hornets Nest Park,"6301 BEATTIES FORD RD CHARLOTTE, NC 28216",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,35.32002029,-80.86514148,,baseball
242,250,266,Idlewild Road Park,"10512 IDLEWILD RD MINT HILL, NC 28105",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,35.16391524,-80.69983188,,baseball
243,251,267,James Boyce Park,"300 BOYCE RD CHARLOTTE, NC 28211",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,35.14741083,-80.76921582,,baseball
244,252,268,L.C. Coleman Park,"1501 MCDONALD ST CHARLOTTE, NC 28216",Neighborhood,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.25845679,-80.86161848,,baseball
247,255,271,Mallard Creek Park,"3001 JOHNSTON OEHLER RD CHARLOTTE, NC 28269",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,Yes,NA,35.36133452,-80.75941254,,baseball
253,261,277,Midwood Park,"2100 WILHELMINA AV CHARLOTTE, NC 28205",Neighborhood,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,35.22975599,-80.80248089,,baseball
254,262,278,Mason Wallace Park,"7301 MONROE RD CHARLOTTE, NC 28212",Community,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,35.16897391,-80.75597924,,baseball
255,263,279,North Mecklenburg Park,"16131 OLD STATESVILLE RD HUNTERSVILLE, NC 28078",Town Park,Yes,https://www.huntersville.org/162/Parks-Recreation,Yes,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,35.43254155,-80.8435746,,baseball
260,268,284,Hickory Grove Park,"6709 PENCE RD CHARLOTTE, NC 28227",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,35.2256973,-80.71739136,,baseball
262,270,286,Park Road Park,"6220 PARK RD CHARLOTTE, NC 28210",Community,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,Yes,Yes,NA,NA,Yes,NA,35.14689227,-80.84991983,,baseball
274,287,306,Grier Heights Park,"3120 LEROY ST CHARLOTTE, NC 28205",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,35.19631012,-80.80802297,,baseball
275,288,307,Elon Park,"11435 ARDREY KELL RD CHARLOTTE, NC 28277",Regional,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,35.02239403,-80.84561611,,baseball
278,291,310,Bailey Road Park,"11536 BAILEY RD CORNELIUS, NC 28031",Town Park,Yes,https://www.cornelius.org/103/Parks-Arts-Recreation-Culture,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,35.46699956,-80.84184883,,baseball
295,308,328,Mint Hill Veterans Memorial Park,"8850 FAIRVIEW RD MINT HILL, NC 28227",Town Park,Yes,https://minthill.com/parks_recreation.php?Parks-Recreation-1,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,35.18000491,-80.63448896,,baseball
